date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:31	235/235	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2022:01:31%20GMT	https://baixarapp.brstore.site/robots.txt		(from )
11:46:31	44902/44902	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2022:01:31%20GMT	https://baixarapp.brstore.site/	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.brstore.site/index.html	(from )
11:46:32	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5afe7b023ddc0-gzip%22	https://manager.brstore.site/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://baixarapp.brstore.site/)
11:46:33	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%22e311-5afe7b0055940-gzip%22	https://manager.brstore.site/assets/vendor/animate-css/animate.min.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/animate-css/animate.min.css	(from https://baixarapp.brstore.site/)
11:46:33	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5afe7b11801c0-gzip%22	https://manager.brstore.site/assets/vendor/slick/slick.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/slick.css	(from https://baixarapp.brstore.site/)
11:46:34	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-5afe7b108bf80-gzip%22	https://manager.brstore.site/assets/vendor/slick/slick-theme.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/slick-theme.css	(from https://baixarapp.brstore.site/)
11:46:34	70815/70815	---M-Z	200	added ('OK')	text/css	etag:%221149f-5b038f1dcf480-gzip%22	https://baixarapp.brstore.site/material-design-iconic-font/css/material-design-iconic-font.min.css	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.brstore.site/material-design-iconic-font/css/material-design-iconic-font.min.css	(from https://baixarapp.brstore.site/)
11:46:35	1010/1010	---M-Z	200	added ('OK')	text/css	etag:%223f2-5afe7af4e3e40-gzip%22	https://manager.brstore.site/assets/fonts/flaticon/flaticon.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/flaticon.css	(from https://baixarapp.brstore.site/)
11:46:35	79347/79347	---M-Z	200	added ('OK')	text/css	etag:%22135f3-5f2c7c0866480-gzip%22	https://manager.brstore.site/assets/css/main.css	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/css/main.css	(from https://baixarapp.brstore.site/)
11:46:35	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2022:01:35%20GMT	http://cdn.rawgit.com/needim/noty/77268c46/lib/noty.css	C:/Users/Administrador/Downloads/Apps%20store/cdn.rawgit.com/needim/noty/77268c46/lib/noty.7.delayed	(from https://baixarapp.brstore.site/)
11:46:36	18782/18782	---M-Z	200	added ('OK')	text/css	etag:W/%22495e-gZjXSjiGTdwnYiL4I1hUwl2gmpE%22	https://cdn.jsdelivr.net/gh/needim/noty@77268c46/lib/noty.css	C:/Users/Administrador/Downloads/Apps%20store/cdn.jsdelivr.net/gh/needim/noty@77268c46/lib/noty.css	(from https://baixarapp.brstore.site/)
11:46:37	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	http://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/Users/Administrador/Downloads/Apps%20store/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://baixarapp.brstore.site/)
11:46:37	11277/11277	---M--	200	added ('OK')	image/png	etag:%22faa7ee81a59dd036999c1736e92f3a92%22	https://i.imgur.com/JdE6HU7.png	C:/Users/Administrador/Downloads/Apps%20store/i.imgur.com/JdE6HU7.png	(from https://baixarapp.brstore.site/)
11:46:38	162986/162986	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2015:55:02%20GMT	https://baixarapp.top/assets2/img/logo.png	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.top/assets2/img/logo.png	(from https://baixarapp.brstore.site/)
